gender,type,season,suggestion
men,casual,summer,a casual t-shirt and shorts
men,casual,winter,a cozy sweater with jeans
men,casual,fall,a layered sweater with jeans
men,casual,spring,a light hoodie with jeans
women,casual,summer,a sundress or a light top with shorts
women,casual,winter,a warm cardigan with leggings
women,casual,fall,a cozy sweater dress or layered sweater with leggings
women,casual,spring,a floral dress or a light blouse with jeans
men,formal,summer,a light blazer with a button-up shirt
men,formal,winter,a thick woolen suit with a tie
men,formal,fall,a dark suit with a tie
men,formal,spring,a tailored blazer with chinos
women,formal,summer,a tailored blazer with a midi dress
women,formal,winter,an elegant long-sleeve dress
women,formal,fall,a formal blouse with trousers or an elegant dress
women,formal,spring,a chic wrap dress or skirt suit
men,wedding,summer,a light beige or pastel suit with a tie
men,wedding,winter,a deep-colored tuxedo with a bow tie
men,wedding,fall,a tailored dark suit with a tie
men,wedding,spring,a pastel suit with a boutonnière
women,wedding,summer,a flowy maxi dress or chiffon gown
women,wedding,winter,a velvet gown with a shawl
women,wedding,fall,a sophisticated gown with autumn tones
women,wedding,spring,a floral print gown or pastel dress
